,pollution_index,traffic_time_index,groceries_index,name,hotel_price_index,cpi_index,quality_of_life_index,restaurant_price_index,property_price_to_income_ratio,health_care_index,safety_index,crime_index,cpi_and_rent_index,rent_index,traffic_inefficiency_index,purchasing_power_incl_rent_index,traffic_co2_index,traffic_index,error
145T7R3CSX,72.4137931034,25.0,97.0240704116,"Scottsdale, AZ, United States",,,,83.4647176707,2.50556625514,66.6666666667,77.0833333333,22.9166666667,,33.6482194454,82.0985575355,,6650.0,120.608357585,
14EFRH3CXF,,,,"Langenthal, Switzerland",,,,,,,,,,,,,,,
14EYTR3CY6,,,,"Windsor, CT, United States",,,,57.8690799263,,,,,,,,,,,
14M26F3D03,106.896551724,,23.9402209975,"Imphal, India",,21.6079435366,,13.8567395893,11.7730270183,,,,12.2596573646,2.18023234124,,43.9911505165,,,
15NFYZ3DD0,23.8245774132,36.3235294118,71.3733670271,"Melbourne, Australia",52.5192291653,74.8121806936,210.819583757,68.678428898,8.79004720052,77.8093434343,63.9296465552,36.0703534448,59.0886159196,42.1352953512,142.683471106,152.384642821,4291.17647059,141.509735276,
15Z6CD3DJ1,,,,"Harrow, United Kingdom",,,,,,,,,,,,,,,
1611GY3DJH,16.849073847,22.1111111111,42.6286202909,"Tallinn, Estonia",33.7910196384,52.2542023992,172.480815169,46.16670877,11.0859863806,64.6672771673,73.7863166023,26.2136833977,34.4721841824,15.2994164598,16.0063612908,78.3993407169,758.888888889,58.3620895352,
16TVSY3DW0,,,,"Crnomelj, Slovenia",,,,,,,,,,,,,,,
16YNC33DX2,,,,"Rotherham, United Kingdom",,,,,,100.0,,,,,,,,,
175M2J3E17,,,,"Trosterud, Norway",,,,,,,,,,,,,,,
179WY43E36,27.5862068966,0.0,35.4516428648,"Benoni, South Africa",31.2935822365,46.1557786625,207.861390579,47.8450097514,3.98148148148,91.6666666667,39.375,60.625,29.4566733824,11.4515143052,0.0,96.2890026536,0.0,0.0,
17MP4J3E81,46.408045977,34.75,70.6219789279,"Austin, TX, United States",60.7562043476,72.9394857477,183.092569006,69.0082254666,5.26188263429,75.9645061728,58.0099587912,41.9900412088,61.8166627031,49.823912496,169.323930453,144.249746057,8091.0,160.575513406,
17TF5F3EAF,51.9540229885,,23.7059665529,"Galati, Romania",33.6025917312,,,25.9252734926,,,65.625,34.375,,5.52581082078,,,,,
17VWBX3EAZ,29.8850574713,25.25,80.0393787858,"Saint Louis, MO, United States",55.4596150132,73.9274147228,187.859784861,63.3395912282,4.31310608312,83.3333333333,28.4921143574,71.5078856426,51.4935700899,27.3051519349,51.1882496156,143.844756106,3516.5,96.73191558,
184F143EHB,57.9501915709,17.0,,"Bordeaux, France",53.0350953248,,,74.1207546954,10.1723325238,81.9444444444,56.3606770833,43.6393229167,,22.8493316684,0.0,,0.0,21.1231056256,
186HPR3EJ0,61.3780394982,42.0230769231,100.0,"New York, NY, United States",100.0,100.0,120.375906799,100.0,22.5753864644,55.3386939571,48.7703096263,51.2296903737,100.0,100.0,168.678748014,100.0,1967.32307692,146.923565764,
18J1FN3ETH,76.2643678161,,30.2518388547,"Vellore, India",,,,16.7732758037,3.04977461807,63.8888888889,34.5052083333,65.4947916667,,2.60192337021,,,,,
18TFGM41GTH,36.9020398915,35.3333333333,56.4580205552,"Berlin, Germany",48.6431593997,66.0439747239,180.498563638,55.5537339678,8.63833354006,76.4437856829,64.3012530043,35.6987469957,46.5875540772,25.6094272288,150.40005666,126.669811526,1311.66666667,108.447365217,
18TFGM41GTJ,36.9020398915,35.3333333333,56.4580205552,"Berlin, Germany",48.6431593997,66.0439747239,180.498563638,55.5537339678,8.63833354006,76.4437856829,64.3012530043,35.6987469957,46.5875540772,25.6094272288,150.40005666,126.669811526,1311.66666667,108.447365217,
18TFGM41GXP,110.344827586,,,"Malta, Malta",,,,67.1558370619,6.67938931298,66.6666666667,81.25,18.75,,20.3301808352,,,,,
18TFGM41GXV,37.5287356322,24.4,59.7417502218,"Stuttgart, Germany",51.0877969042,69.3722179307,,60.5316078603,6.9885193133,77.7314814815,76.8273133117,23.1726866883,49.0542263277,27.1471441933,11.9073675805,168.570228895,244.0,48.4108403402,
18TVRH3EXW,,,,"Swords, Ireland",,,,,,,,,,,,,,,
18W40S3EZF,22.4137931034,14.0,,"Lubbock, TX, United States",57.9897143771,,,62.4999126202,2.79112435974,91.6666666667,35.15625,64.84375,,24.0651225521,36.1201467605,,3724.0,84.7762464866,
18W84X3EZG,,45.0,,"Massapequa, NY, United States",,,,79.5327553552,,,,,,57.2695033465,181.693324295,,11970.0,226.921270487,
18XG1J3F09,62.0689655172,,,"Swindon, United Kingdom",60.2619183842,,,99.0594101975,3.7443385601,75.0,75.0,25.0,,30.1681599032,,,,,
18YS9R3F1N,44.2063894523,35.125,123.449042156,"San Francisco, CA, United States",78.5866477259,104.483637599,161.720242832,91.2410446942,14.2315677895,68.287037037,51.9502166239,48.0497833761,113.152899003,122.500192049,160.497022048,105.067916049,3675.0,132.411632206,
18YZ5Z3F1R,,,,"Torrance, CA, United States",,,,,,,,,,,,,,,
18ZPXD3F28,20.4022988506,25.0,68.1751174831,"Christchurch, New Zealand",59.3133002618,73.8737690576,203.003523378,79.4063421212,6.5703016736,91.6666666667,58.7005414196,41.2994585804,53.827205767,32.2127806258,41.8801408598,98.9491847189,2295.0,84.3776450261,
198HC43FA8,13.591954023,28.4,61.922146506,"Mississauga, Canada",51.1770473101,69.1443251113,181.046357826,61.8838007819,8.10409004369,63.8888888889,64.2435888624,35.7564111376,51.0369561903,31.5133917583,82.5180613323,105.70451994,4276.4,110.377639939,
198Z483FAC,,,,"Itajai, Brazil",,,,26.9136616899,15.0,,56.25,43.75,,13.7145069896,,,,,
19DV603FE2,50.0,57.5,63.8214843045,"Mesa, AZ, United States",,,,63.8937344776,1.86173298522,,25.0,75.0,,24.1009159917,336.173526107,,15295.0,313.226251684,
19E0P23FEC,33.6206896552,,,"Solingen, Germany",,,,,,22.2222222222,15.625,84.375,,,,,,,
19EQ9G3FF1,59.3390804598,36.1818181818,78.5854306217,"Atlanta, GA, United States",54.2010236811,76.6884746784,166.096066245,69.2587076437,3.23421789588,71.2121212121,35.8444383928,64.1555616072,58.6627352606,39.2271846572,148.941585888,140.204197634,5679.27272727,151.030183016,
19FC383FFC,,76.6666666667,43.9293338971,"Tangerang, Indonesia",14.4935700451,,,19.0535807766,13.5714285714,,61.5885416667,38.4114583333,,13.8942793599,476.298364163,,20393.3333333,454.532315062,
19JGM63FJA,,,,,,,,,,,,,,,,,,,Couldn't resolve city in your request.
19K3JR3FJS,24.7126436782,,,"Laval, Canada",,,,60.3247956712,4.64906832298,,79.6875,20.3125,,23.4940755166,,,,,
19MENC3FMA,,,,"Dibrugarh, India",,,,15.756564796,,,,,,,,,,,
19PSSE3FNX,,40.0,24.9250579787,"Buzau, Romania",,30.4538700161,,18.6936110598,12.5396825397,19.4444444444,,,17.951774496,4.47187752777,33.5395730221,52.624293966,1330.0,122.43253859,
19S4X73FQ0,32.7586206897,5.0,,"Prilep, Macedonia",22.644717318,,,20.5949035838,12.8363486643,26.3888888889,62.1875,37.8125,,3.68811844922,6.58088599102,,1064.0,42.4204045976,
19V69R3FRP,20.9195402299,20.5,72.2792822262,"Oklahoma City, OK, United States",50.4762945992,66.5538656191,204.488147673,58.8336190209,2.26609727079,56.9444444444,55.0,45.0,46.5652720125,25.0133504226,78.1156633277,138.638210115,5453.0,107.710430226,
1A2TDT3FY5,33.4154351396,30.75,36.7535290965,"Constanta, Romania",23.0182599349,39.8085977479,,31.857170435,12.6895734597,42.5925925926,61.2508585165,38.7491414835,23.8108490462,6.56190034967,133.730187822,45.5589694933,1454.0,92.5654518758,
1A46173FZ8,19.3965517241,35.0,67.3164522406,"Tucson, AZ, United States",50.8847771295,63.9961751118,,59.7026893738,2.49107641072,66.4351851852,46.09375,53.90625,44.4327316919,23.3392117119,188.093823497,190.216713034,2980.5,126.925106003,
1A4APE3FZA,16.849073847,22.1111111111,42.6286202909,"Tallinn, Estonia",33.7910196384,52.2542023992,172.480815169,46.16670877,11.0859863806,64.6672771673,73.7863166023,26.2136833977,34.4721841824,15.2994164598,16.0063612908,78.3993407169,758.888888889,58.3620895352,
1A6H3N3G1T,33.3804577212,20.0769230769,44.1733019813,"Ljubljana, Slovenia",37.7157168854,53.6815689826,169.964992578,44.5381674743,10.5419052163,55.9398331137,71.3293818811,28.6706181189,35.7800258486,16.4783850451,46.6449752219,93.554466843,2841.38461538,84.6920034319,
1A74R23G29,,,,"Burgundy, France",,,,,,,,,,,,,,,
1AA4793G3Z,30.7108973252,36.7894736842,82.5672020721,"Perth, Australia",62.5970374995,85.3653959451,190.2473643,92.6714030374,7.85047759001,69.8766192301,52.8714319921,47.1285680079,64.3451257225,41.6808390523,136.224993807,134.82436249,5071.15789474,148.905694714,
1AGSRD3G84,,,,"Waco, TX, United States",51.0325256379,,,49.541418876,,,,,,23.2657357345,,,,,
1AY0J93GHW,44.2063894523,35.125,123.449042156,"San Francisco, CA, United States",78.5866477259,104.483637599,161.720242832,91.2410446942,14.2315677895,68.287037037,51.9502166239,48.0497833761,113.152899003,122.500192049,160.497022048,105.067916049,3675.0,132.411632206,
1B8SCT3GRP,0.0,,,"South Yarra, Australia",,,,,,,,,,,,,,,
1BA53S3GSK,,,,"O'Fallon, IL, United States",,,,66.2947134596,,,40.625,59.375,,20.4022605672,,,,,
1BCGFY3GW6,9.48275862069,26.0,39.1221772191,"Varazdin, Croatia",43.8321165938,44.6030805786,176.0757255,32.0913249298,10.5235294118,55.5555555556,64.6875,35.3125,27.2229140883,8.48342731957,84.66145453,65.4899616013,6650.0,121.944850507,
1BKEM53H22,,,,"Calauan, Philippines",,,,,,,,,,,,,,,
1BQJNP3H3G,,,,"Pori, Finland",,,,87.0257583018,,,85.9375,14.0625,,,,,,,
1BT04S3H4F,,,,,,,,,,,,,,,,,,,Couldn't resolve city in your request.
1BTAGJ3H4R,52.1769418321,38.8571428571,68.0871592946,"Salt Lake City, UT, United States",54.4243439478,68.4475226701,204.320078854,63.6260736542,2.57032032659,69.4444444444,71.6461074561,28.3538925439,51.5471549277,33.3249924488,213.23849464,197.24946813,5541.42857143,164.06205191,
1BVTC53H58,,,128.020483625,"West Hollywood, CA, United States",66.1113334697,105.872732413,,87.9466321905,,,70.3125,29.6875,96.0058907195,85.3673534259,,120.733279799,,,
1BWQZ93H64,,,,,,,,,,,,,,,,,,,Couldn't resolve city in your request.
1BZYCK3H8W,47.7011494253,33.0,,"Cordoba, Argentina",,,,58.5648601258,4.74850510025,74.537037037,37.8645833333,62.1354166667,,10.9790410374,101.857263379,,6149.33333333,139.342827166,
1C382P3HBK,,,,"Iligan, Philippines",,,,,,,,,,,,,,,
1CAHHX3HJH,,,,"Lewisham, United Kingdom",,,,110.252882089,,,,,,,,,,,
1CF2NR3HMS,113.218390805,60.0,49.6031987103,"Abidjan, Ivory Coast",49.3888529807,66.6093984312,,58.4538430612,,6.94444444444,45.8333333333,54.1666666667,42.883543394,17.3020654032,379.262309564,34.0835759236,15960.0,331.53550311,
1CJMP53HR6,68.8505747126,49.4,40.4380375913,"Surabaya, Indonesia",14.757616193,36.5395594667,82.8039159252,22.017537311,18.3074375955,84.0277777778,63.3463541667,36.6536458333,26.0870707419,14.817082375,263.721907003,32.9116622412,1278.8,178.573104554,
1CMBP73HS5,33.6206896552,,,"York, PA, United States",,,,59.9369524664,,,37.109375,62.890625,,22.614295134,,,,,
1CRS2M3HV7,,,,,,,,,,,,,,,,,,,Couldn't resolve city in your request.
1CV7TB3HWM,78.8793103448,,,"Zabrze, Poland",,,,,,,39.0625,60.9375,,,,,,,
1CW4M43HWX,44.2063894523,35.125,123.449042156,"San Francisco, CA, United States",78.5866477259,104.483637599,161.720242832,91.2410446942,14.2315677895,68.287037037,51.9502166239,48.0497833761,113.152899003,122.500192049,160.497022048,105.067916049,3675.0,132.411632206,
1D2M8Z3J28,34.3185550082,35.8333333333,76.0369241962,"Quebec City, Canada",45.7061666115,70.9946815334,187.060240923,60.9870981326,5.19841156756,81.8121693122,74.9790348651,25.0209651349,45.7416239677,18.5134994046,149.595305942,135.081925062,4833.33333333,143.770895493,
1D6BN93J54,27.5862068966,,,"West Hartford, CT, United States",,,,63.2105396965,,,,,,55.8377657629,,,,,
1DH7C73JBM,45.4022988506,,,"Schiedam, Netherlands",,,,,,,,,,,,,,,
1DMJ8X3JDN,,,,"New Milford, CT, United States",,,,83.0127379494,,,,,,,,,,,
1DRTZY3JH5,,76.6666666667,43.9293338971,"Tangerang, Indonesia",14.4935700451,,,19.0535807766,13.5714285714,,61.5885416667,38.4114583333,,13.8942793599,476.298364163,,20393.3333333,454.532315062,
1DSWR63JHQ,0.0,,,"Vaughan, Canada",,,,63.122253596,7.7200177169,88.8888888889,87.5,12.5,,36.9385063456,,,,,
1E128H3JR6,15.4789272031,19.7142857143,94.4291693526,"Reykjavik, Iceland",74.5163870501,97.0543568161,,95.3360864129,5.7972922214,75.5868606702,73.9561542967,26.0438457033,68.616629254,37.9547584554,72.1629994168,95.6637141929,3922.0,95.2751169582,
1E2HWF3JSD,,,,"Andover, MA, United States",,,,81.2518458559,,,,,,,,,,,
1EE23K3K08,46.2068965517,8.0,,"Windhoek, Namibia",41.2975522166,,,38.225473963,8.88193620518,61.6666666667,35.5810776633,64.4189223367,,20.7157844451,16.8821031913,,2128.0,61.0674611667,
1EVN143K64,57.183908046,50.0,42.0782127067,"Bekasi, Indonesia",16.1704532987,39.5093158198,114.14110742,21.46477854,10.3142796878,87.5,64.84375,35.15625,25.4868066984,10.3675830539,214.980884361,50.8498154696,13300.0,259.73432368,
1EVQE23K69,,,,"Davis, CA, United States",,,,89.0243295029,,,,,,,,,,,
1F98K93KD4,101.724137931,90.0,,"Vereeniging, South Africa",,,,,,,2.34375,97.65625,,,381.663835177,,15960.0,527.098543707,
1FEG7B3KJT,52.9283380019,34.7083333333,34.7732585211,"Budapest, Hungary",27.6108318222,43.1280477153,137.137296825,32.8225183613,9.91984180392,51.7798957315,58.523403955,41.476596045,28.2107023037,12.1266563238,105.337211868,62.1149175497,2154.41666667,114.125729458,
1FF4G93KKD,35.0574712644,125.0,62.9489637939,"Langley, BC, Canada",42.5042831147,61.5469625694,,55.5145446456,4.54682422775,52.7777777778,39.84375,60.15625,45.025643092,27.2121746236,648.337809409,144.395310864,3724.0,734.341913053,
1FGWHP3KM7,38.3620689655,,106.9585793,"Lancaster, PA, United States",,,,83.6593563369,12.14169095,,56.25,43.75,,25.7593453594,,,,,
1FH8PB3KMN,87.6436781609,60.0,,"Doncaster, United Kingdom",,,,83.7508455566,,29.1666666667,25.0,75.0,,22.5495972107,326.25459542,,3990.0,266.95691726,
1FW9A93KZ1,,,79.4608099925,"Burnley, United Kingdom",67.9331283031,87.3143431265,,93.6991993636,2.27631578947,63.8888888889,,,55.4670790929,21.1290085507,,154.8634313,,,
1G44JY3M3C,50.7183908046,45.0,73.5256348143,"Fort Myers, FL, United States",56.405419286,67.4107092107,,61.1204600604,,69.4444444444,45.0,55.0,48.9475702544,29.0404106553,229.880495435,129.535216043,11970.0,228.603714301,
1GB1TP3M7Q,43.1034482759,,,"Marilia, Brazil",,,,20.5922417949,,,,,,6.64370580811,,,,,
1GB4D03M7S,17.5287356322,23.75,72.4076048897,"Sheffield, United Kingdom",,,,72.5537091055,5.19480519481,79.6296296296,69.1666666667,30.8333333333,,26.6113119395,27.8393679576,,1307.5,70.0590691251,
1GDXH03M9Z,5.1724137931,,64.4537847543,"Yucca Valley, CA, United States",51.050672525,,,48.0391741375,2.35460540366,,0.0,100.0,,25.0554077141,,,,,
1GEPH13MA9,,,,"Cirebon, Indonesia",,,,12.9009612712,,,,,,,,,,,
1GG8PX3MBC,20.4022988506,33.3333333333,43.2732321507,"Bremen, Germany",52.4427849404,58.1797835213,213.189018029,63.5737106262,6.32183908046,72.2222222222,65.1041666667,34.8958333333,40.0456278523,20.4931816537,78.6838841661,173.47945521,2231.0,108.193148714,
1GJFSM3MDM,,,,"Worms, Germany",,,,,,,3.125,96.875,,,,,,,
1GJTVN3MER,33.6206896552,,,"Peterborough, Canada",,,,63.1763345049,2.69097760418,90.2777777778,90.625,9.375,,23.5749037581,,,,,
1GMD453MJM,,,,"Erlanger, KY, United States",,,,,,,,,,,,,,,
1GNRC33MN0,0.0,,,"Basingstoke, United Kingdom",,,,100.062365701,,86.1111111111,47.9166666667,52.0833333333,,,,,,,
1GQ9QD3MPS,21.3793103448,27.5,84.0699622223,"Cambridge, United Kingdom",71.2834286216,94.9311859396,200.959841576,109.346198476,9.57777777778,60.6481481481,79.8611111111,20.1388888889,75.0800186669,53.6762716625,94.81568028,116.516430264,6650.0,125.075348351,
1GRK9J3MRH,26.724137931,,84.1523833261,"Greensboro, NC, United States",52.8389205701,74.4131906191,,60.5480395,1.54810127647,52.7777777778,54.375,45.625,51.1545608155,26.0768502131,,207.033435179,,,
1GXWCQSGE,,10.0,,"Koblenz, Germany",,,,64.1416234084,,,,,,14.8882637429,0.0,,0.0,13.1622776602,
1H2J6M3N03,60.0,16.0,,"Pensacola, FL, United States",,,,63.2151117457,,66.6666666667,54.6875,45.3125,,28.9449614831,59.883280459,,4256.0,92.9764545319,
1H79ED3N41,,,,"Lewisham, United Kingdom",,,,110.252882089,,,,,,,,,,,
1H95J13N5A,62.0689655172,,,"Salatiga, Indonesia",,,,,,,,,,,,,,,
1H9ZRQ3N5K,,,,"Temple, TX, United States",,,,77.7499696775,,,,,,,,,,,
1HF75X3NA9,67.2413793103,,74.582896535,"Bolton, United Kingdom",68.8660299218,,,132.602716329,,59.7222222222,,,,17.9587581613,,,,,
1HFRTA3NAN,57.183908046,50.0,42.0782127067,"Bekasi, Indonesia",16.1704532987,39.5093158198,114.14110742,21.46477854,10.3142796878,87.5,64.84375,35.15625,25.4868066984,10.3675830539,214.980884361,50.8498154696,13300.0,259.73432368,
1HM8SV3NFE,42.3406478579,20.8333333333,77.6879626729,"Sacramento, CA, United States",62.8342499893,78.3553968899,201.969702754,69.5863513775,3.40406604873,74.3386243386,56.0242419617,43.9757580383,58.7452045901,37.6012794534,83.8247203469,142.280330818,4345.0,100.469886077,
1HPJFP3NKW,67.816091954,34.75,79.5817898242,"Baltimore, MD, United States",59.5672559464,77.216097415,166.28513884,70.6974780887,4.14856908816,76.3888888889,37.0952219203,62.9047780797,63.7225810874,49.1737232945,113.821113359,156.915920409,4472.5,135.158524546,
1HPZMK3NM5,77.7330428192,64.7272727273,41.0033076161,"Nairobi, Kenya",40.567162694,45.1802562283,88.4125663783,33.6693376403,18.502729714,62.9298941799,33.8595094968,66.1404905032,31.9299102866,17.6432414797,251.895427026,28.2244441597,6694.18181818,311.70227984,
1HZJAQ3NWK,57.183908046,50.0,42.0782127067,"Bekasi, Indonesia",16.1704532987,39.5093158198,114.14110742,21.46477854,10.3142796878,87.5,64.84375,35.15625,25.4868066984,10.3675830539,214.980884361,50.8498154696,13300.0,259.73432368,
1JAPJB3P8R,,,,,,,,,,,,,,,,,,,Couldn't resolve city in your request.
1JBAK73P9P,,,,"Moose Factory, ON, Canada",,,,,,,,,,,,,,,
1JE7JN3PD2,,,,"Subryanville, Guyana",,,,,,,,,,,,,,,
1JEAJW3PD5,,,,"Zamora de Hidalgo, Mexico",,,,19.3833564562,,,,,,,,,,,
1JEK763PDA,55.1724137931,45.0,46.5573349953,"Sandton, South Africa",,48.5888518825,192.958384993,36.2149636094,2.93193717277,65.2777777778,44.84375,55.15625,37.7781458923,26.1219237278,181.203650946,177.038652998,11970.0,226.90309442,
1JGJH33PF7,,,,,,,,,,,,,,,,,,,Couldn't resolve city in your request.
1JGRJM3PFG,,,,"Barquisimeto, Venezuela",,,,136.082472511,,,11.9791666667,88.0208333333,,30.5604387233,,,,,
1JH8473PFT,,,,,,,,,,,,,,,,,,,Couldn't resolve city in your request.
1JMXS03PK0,,,49.6419775291,"Sibenik, Croatia",35.9513286623,52.2975281796,,37.9524247101,,,84.375,15.625,31.104597055,8.25414550012,,55.9685345088,,,
1JSVQE3PQF,,,29.5772832768,"Midrand, South Africa",,,,23.4243115617,,,,,,10.8195322795,,,,,
1JXCXP3PTD,,,,"Union Gap, WA, United States",,,,,,,,,,,,,,,
1JYESB3PTY,,,,"Christiansburg, VA, United States",,,,59.3961443605,,,,,,20.5812277652,,,,,
1K0B3N3PX6,,,,,,,,,,,,,,,,,,,Couldn't resolve city in your request.
1K3KRY3PZ5,51.8965517241,55.7777777778,29.7919250969,"Belo Horizonte, Brazil",21.9761353891,38.5980665722,,28.444072048,19.9291244661,59.0277777778,32.4104126448,67.5895873552,25.2743148162,10.9084990524,278.388421428,51.7096020843,7882.22222222,266.880713116,
1K6E453Q0R,32.0463875205,36.425,67.6520803511,"Dublin, Ireland",59.4384737747,81.1050401441,160.949620442,84.3454474787,9.43194091752,47.3130629008,45.4904186582,54.5095813418,64.3722357625,46.3307419432,158.416739652,120.02760115,1505.4,115.869219125,
1K75SA3Q1A,37.4359326308,35.375,32.9517340792,"Curitiba, Brazil",24.5374851779,40.9937645509,139.357905767,29.88651407,14.1772575251,49.3441358025,34.9576516639,65.0423483361,26.3482013038,10.5571938446,143.525784865,49.7684984466,5320.75,145.060112121,
1K7BX83Q1F,29.3103448276,,,"Mandurah, Australia",,,,87.6825043105,,,,,,,,,,,
1K91MZ3Q31,,,,"Waterbury, CT, United States",,,,65.4456186074,,,,,,,,,,,
1KBK6C3Q5E,83.4369073153,45.5555555556,50.050430031,"Jakarta, Indonesia",17.6013346246,45.5494490095,58.8228623953,26.4089215725,23.9435393858,59.0033238367,49.5852451621,50.4147548379,35.6187708202,24.9114043149,234.719415143,36.2005123108,9785.0,221.04564659,
1KH5NM3Q9V,38.3620689655,10.0,65.098464414,"Stoke-On-Trent, United Kingdom",63.9482231854,86.5859242424,,77.8611759714,,94.4444444444,61.1142113095,38.8857886905,54.8814982773,20.6974373122,2.56532375949,86.8525454534,532.0,37.8290656603,
1KPCSE3QD8,34.3185550082,35.8333333333,76.0369241962,"Quebec City, Canada",45.7061666115,70.9946815334,187.060240923,60.9870981326,5.19841156756,81.8121693122,74.9790348651,25.0209651349,45.7416239677,18.5134994046,149.595305942,135.081925062,4833.33333333,143.770895493,
1KWQW63QH5,,,,"Kuningan, Indonesia",,,,,,,,,,,,,,,
1KWXDZ3QH8,62.7390578873,37.7272727273,46.7755403569,"Athens, Greece",36.3072054705,56.2419470654,136.677762739,58.0286962071,9.90308169947,52.323069948,51.0670670963,48.9329329037,34.6785159819,11.4285872942,170.375785111,65.5226119904,5366.68181818,156.358259803,
