,loan_identifier,nominal_interest_rate,term,purpose,project_description,borrower_identifier,borrower_rating,employment,region,facebook,twitter,paypal,ebay,linkedin,published_at,funded_at,status,amount_requested,amount_funded,issuer_id,fraudulent,address_lat,address_lng,net_income_cents,currency,rates_count,rates_paid,base_currency
16,FJ16W31W9,2458,term_6_months,other,This is a reputation Bitbond. Thank you for contributing to my project!,EJ67531T2,E,self_employed,ES,none,none,none,none,none,2013-07-08 22:15:08 +0200,2013-07-15 00:00:22 +0200,fully_paid,500000000,100000000,118,False,37.402682,-5.983645,231400,EUR,6.0,6.0,btc
17,FMQ7X31WD,766,term_6_weeks,working_capital,This is a project for your guys to invest in and see this site in action. I am looking forward to your bids!,18TFGM41GTH,A,self_employed,DE,none,none,connected,none,none,2013-07-09 22:43:25 +0200,,expired,1200000000,30000000,1,False,52.540658,13.417918,320000,EUR,0.0,0.0,btc
18,FPVX731WG,766,term_6_weeks,other,Happily invest in my project and you shall be rewarded :),18TFGM41GTH,A,self_employed,DE,none,none,connected,none,none,2013-07-10 18:15:19 +0200,,expired,300000000,0,1,False,52.540658,13.417918,320000,EUR,0.0,0.0,btc
19,FQ7F031WP,1465,term_6_weeks,renovation,Need a short term loan to repair my the interior of my pastry shop in Genoa and want to try this. Thank you for your bids!,FQ6AP31WM,C,self_employed,IT,none,none,none,none,none,2013-07-10 21:32:32 +0200,,expired,400000000,0,142,False,44.408788,8.933717,186700,EUR,0.0,0.0,btc
20,FQ92Y31WR,1029,term_6_months,consumption,This is a reputation loan to see how this works. I will use the funds to buy a bicycle for my son.,F1AAA31VF,B,salaried,DK,none,none,none,none,none,2013-07-10 22:00:14 +0200,,expired,1200000000,0,128,False,55.689747,12.565023,1700000,DKK,0.0,0.0,btc
21,FZ9K331X3,766,term_6_weeks,investment,"I would like to benefit from falling Bitcoin exchange rates, since I think the value of Bitcoin might go down in the next 6 weeks",FZ8HT31X0,A,salaried,DE,none,none,none,none,none,2013-07-13 22:57:55 +0200,,expired,200000000,50000000,145,False,48.99282,8.394117,570000,EUR,0.0,0.0,btc
22,G8AQK31XW,770,term_6_months,renovation,Need to repair my car and wanted to try this. I do BTC mining so I have an inflow of BTC from which I will repay the loan.,18TFGM41GTJ,A,self_employed,SK,connected,connected,connected,connected,connected,2013-07-17 09:12:35 +0200,,expired,300000000,0,2,False,52.510964,13.304994,185000,EUR,0.0,0.0,btc
23,G8AZE31XX,1453,term_12_months,other,I want to go short on Bitcoin as I believe price will start falling soon.,FQ6AP31WM,C,self_employed,IT,none,none,none,none,none,2013-07-17 09:16:46 +0200,,expired,800000000,0,142,False,44.408788,8.933717,186700,EUR,0.0,0.0,btc
24,G9N2231XZ,766,term_6_weeks,other,I created this project for you to invest and earn some interest! Happy bidding!,18TFGM41GTH,A,self_employed,DE,none,none,connected,none,none,2013-07-17 21:14:58 +0200,,expired,100000000,90000000,1,False,52.540658,13.417918,320000,EUR,0.0,0.0,btc
25,GHJ1Y31YA,1633,term_60_months,investment,"We are launching a Business Platform where small business owners locally have acces to Marketing Tools that are now only accessable to larger companies. We offer a directory, e-mail marketing platform, landinmg pages, video's, websitebuilding and hosting and the lot. Soon we will launch mobile applications for the same professionals, al at low cost. We need this amount for amplifying our infratructure. As a bonus, we offer for each bitcoin a 1% share in the results of this project. (Without voting power). Any details, write to admin@ajuda.pro and do visit our website: http://ajuda.pro",GF2Y731Y5,C,self_employed,NL,none,none,none,none,none,2013-07-20 21:12:46 +0200,,canceled,5000000000,140000000,156,False,-8.068811,-34.930926,200000,BRL,0.0,0.0,btc
26,GPD4531YM,1029,term_6_months,renovation,I want to try this service as I believe it could be a good way to fund new business opportunities. This loan will be used for a vehicle repair.,F1AAA31VF,B,salaried,DK,none,none,none,none,none,2013-07-22 17:19:17 +0200,,expired,3000000000,0,128,False,55.689747,12.565023,1700000,DKK,0.0,0.0,btc
27,GRRW331YR,1947,term_12_months,investment,I run an art studio in BUenos Aires and need to purchase some new equipment items. I'm displaying many pieces at two large exhibitions in August and September where I expect to sell most of what I' creating right now.,GRHGD31YQ,D,self_employed,AR,none,none,connected,none,none,2013-07-23 14:52:03 +0200,,expired,500000000,50000000,162,False,-34.545137,-58.529497,600000,ARS,0.0,0.0,btc
28,GSAE931YT,766,term_6_weeks,investment,test loan,18TFGM41GTJ,A,self_employed,SK,connected,connected,connected,connected,connected,2013-07-23 19:51:53 +0200,,canceled,500000000,0,2,False,52.510964,13.304994,185000,EUR,0.0,0.0,btc
29,GW8RA31Z6,1029,term_6_months,investment,I'm a student and develop mobile apps as a side job. Currently I don't have an assignment cause I want to develop a windows phone bitcoin wallet and earn myown money with it. I need to pay a fellow student who will help me out a bit. The app should be finished within the next three two to three months.,GW72131Z2,B,studying,JP,none,none,none,none,none,2013-07-24 22:41:30 +0200,,expired,1000000000,0,164,False,42.815994,-73.989226,95000,JPY,0.0,0.0,btc
30,H42P831ZE,766,term_6_weeks,other,I have a cash shortage until my next income payment and want to bridge it with this loan. Thanks for your support!,18TFGM41GTH,A,self_employed,DE,none,none,connected,none,none,2013-07-27 21:47:04 +0200,2013-08-03 00:00:23 +0200,fully_paid,200000000,170000000,1,False,52.540658,13.417918,320000,EUR,1.0,1.0,btc
31,H90ZS31ZR,1806,term_6_months,other,I recently started to accept bitcoin as a means of payment. Now I wanted to test how it is like to get a bitcoin loan. I will definitely repay. I do this to build up a reputation as a good borrower. Mayber I want to take out a real loan in the future.,EFZQC31SJ,D,self_employed,FR,none,none,none,none,none,2013-07-29 18:48:41 +0200,,expired,300000000,60000000,115,False,47.225268,5.137244,231400,EUR,0.0,0.0,btc
32,H92GQ31ZT,1465,term_6_weeks,other,This is a reputation Bitbond. Want to see if it works and come back if it is a good opportunity to consolidate other loans.,H914X31ZS,C,self_employed,IE,none,none,none,none,none,2013-07-29 19:14:47 +0200,,expired,100000000,90000000,170,False,53.613154,-6.181284,135000,EUR,0.0,0.0,btc
33,H93TB31ZV,770,term_6_months,education,another reputation loan,18TFGM41GTJ,A,self_employed,SK,connected,connected,connected,connected,connected,2013-07-29 19:36:59 +0200,,expired,100000000,80000000,2,False,52.510964,13.304994,185000,EUR,0.0,0.0,btc
34,HCBXA31ZZ,1115,term_6_weeks,renovation,I'm fascinated by the idea of Bitcoin peer to peer lending. I actually don't need a loan right now but wanted to try this out.,F1AAA31VF,B,salaried,DK,none,none,none,none,none,2013-07-31 01:13:30 +0200,2013-08-06 06:00:26 +0200,fully_paid,300000000,220000000,128,False,55.689747,12.565023,1700000,DKK,1.0,1.0,btc
35,HCE263209,1806,term_6_months,investment,I work as a painter and need a motorcycle to go to work every day. The loan will enable me to buy the motorcycle now. I have saved most of the needed amount myself already. Once I have the motorcycle it will save me valuable time every day and allow me to do some extra hours as a teacher in a painting school after work.,GRHGD31YQ,D,self_employed,AR,none,none,connected,none,none,2013-07-31 01:50:14 +0200,,expired,500000000,0,162,False,-34.545137,-58.529497,600000,ARS,0.0,0.0,btc
36,HGRGP320Q,1806,term_6_months,education,"After my apprenticeship and I started going to master school in manufacturing. When I finish that, I want to have my own shop for building customized drilling machines together with one other partner. I need the loan to bridge an income gap until I finish school in three months.",1GXWCQSGE,D,salaried,DE,none,none,none,none,none,2013-08-01 17:13:10 +0200,,expired,1500000000,0,108,False,50.343577,7.56679,180000,EUR,0.0,0.0,btc
37,HRM8Q3214,1465,term_6_weeks,working_capital,This is a reputation loan to try this service.,EFZ9T31SH,C,self_employed,GB,none,none,none,none,none,2013-08-04 16:49:44 +0200,,expired,100000000,90000000,114,False,53.773415,-1.54316,150000,GBP,0.0,0.0,btc
38,HV67N321N,766,term_6_weeks,education,kafkajfhjkadfh,18TFGM41GTJ,A,self_employed,SK,connected,connected,connected,connected,connected,2013-08-05 16:08:37 +0200,,canceled,100000000,0,2,False,52.510964,13.304994,185000,EUR,0.0,0.0,btc
39,J0S8K342A,2564,term_12_months,investment,I work as a teacher and need a motorcycle to go to work every day. I have a governmental job with a steady income. The loan will enable me to save valuable time every day and do some extra hours as a private teacher in the afternoon,EFYAG31SE,E,salaried,IT,none,none,none,none,none,2013-08-07 19:04:03 +0200,,canceled,1000000000,0,113,False,45.458525,9.164262,134500,EUR,0.0,0.0,btc
40,J0SH7342B,1994,term_6_weeks,investment,I have a small stationary shop and need a motorcycle to go to work every day. The loan will enable me to save valuable time every day and do some extra hours as a private teacher in the afternoon.,EFZQC31SJ,D,self_employed,FR,none,none,none,none,none,2013-08-07 19:08:39 +0200,,expired,500000000,90000000,115,False,47.225268,5.137244,231400,EUR,0.0,0.0,btc
41,JCZF4343P,1465,term_6_weeks,other,I have a farm and look for external financing. Wanted to give this site a try and see how it works. I will want to borrow more when I see that it works and how the processes are.,H914X31ZS,C,self_employed,IE,none,none,none,none,none,2013-08-12 10:03:33 +0200,,expired,200000000,40000000,170,False,53.613154,-6.181284,135000,EUR,0.0,0.0,btc
42,JD033343Q,1465,term_6_weeks,investment,My scooter had a damage last week and I need to repair it really quickly. Therefore I need this loan because my next salary comes at the beginning of September. When I received that I can pay back the loan immediately.,FQ6AP31WM,C,self_employed,IT,none,none,none,none,none,2013-08-12 10:14:11 +0200,,expired,400000000,10000000,142,False,44.408788,8.933717,186700,EUR,0.0,0.0,btc
43,JKRMW3441,1380,term_6_months,consumption,"I want to try this service, so I am asking for partly financing my honeymoon. Destination is South Africa, and 2 BTC will be a night out in Cape Town! ",18TFGM41GXV,C,salaried,DE,none,none,none,none,none,2013-08-14 23:50:04 +0200,,expired,200000000,40000000,107,False,48.763876,9.154961,370000,EUR,0.0,0.0,btc
44,JZR5J3469,1994,term_6_weeks,other,I recently started to accept bitcoin as a means of payment. Now I wanted to test how it is like to get a bitcoin loan. I will definitely repay. I do this to build up a reputation as a good borrower. Maybe I want to take out a real loan in the future. ,EFZQC31SJ,D,self_employed,FR,none,none,none,none,none,2013-08-19 12:55:31 +0200,,expired,100000000,40000000,115,False,47.225268,5.137244,231400,EUR,0.0,0.0,btc
45,JZRGF346A,1380,term_6_months,investment,I run a restaurant and we are currently refurbishing. This loan would help me to buy a large part of the interior all at once. That would mean a price advantage and more customers.,FQ6AP31WM,C,self_employed,IT,none,none,none,none,none,2013-08-19 13:01:19 +0200,,expired,2500000000,0,142,False,44.408788,8.933717,186700,EUR,0.0,0.0,btc
46,KJ4NW3478,1947,term_12_months,other,"After my apprenticeship and I started going to master school in manufacturing. When I finish that, I want to have my own shop for building customized drilling machines together with one other partner. I need the loan to bridge an income gap until I finish school in three months. ",1GXWCQSGE,D,salaried,DE,none,none,none,none,none,2013-08-26 12:19:24 +0200,,expired,1000000000,10000000,108,False,50.343577,7.56679,180000,EUR,0.0,0.0,btc
47,KJ4SR3479,1806,term_6_months,other,I recently started to accept bitcoin as a means of payment. Now I wanted to test how it is like to get a bitcoin loan. I will definitely repay. I do this to build up a reputation as a good borrower. Maybe I want to take out a real loan in the future.,EFZQC31SJ,D,self_employed,FR,none,none,none,none,none,2013-08-26 12:21:28 +0200,,expired,400000000,10000000,115,False,47.225268,5.137244,231400,EUR,0.0,0.0,btc
48,KJ4YP347A,1465,term_6_weeks,investment,My scooter had a damage last week and I need to repair it really quickly. Therefore I need this loan because my next salary comes at the beginning of September. When I received that I can pay back the loan immediately. ,FQ6AP31WM,C,self_employed,IT,none,none,none,none,none,2013-08-26 12:24:06 +0200,,expired,400000000,0,142,False,44.408788,8.933717,186700,EUR,0.0,0.0,btc
49,KJ52E347B,1947,term_12_months,working_capital,I run an art studio in Buenos Aires and need to purchase some new equipment items. I'm displaying many pieces at two large upcoming exhibitions where I expect to sell most of what I'm creating right now. ,GRHGD31YQ,D,self_employed,AR,none,none,connected,none,none,2013-08-26 12:26:06 +0200,,expired,600000000,0,162,False,-34.545137,-58.529497,600000,ARS,0.0,0.0,btc
50,M4TAR3488,1465,term_6_weeks,other,This is a reputation loan to try this service.,EFZ9T31SH,C,self_employed,GB,none,none,none,none,none,2013-09-02 14:19:20 +0200,,expired,200000000,40000000,114,False,53.773415,-1.54316,150000,GBP,0.0,0.0,btc
51,M4V3B3489,2458,term_6_months,investment,"I run a tapas restaurant in Sevilla which I need to renovate. We will refurbish the interior and buy new furniture for our guests. The loan will finance most of it, the rest comes from my savings. The restaurant is located in a coming are and besides tourists we have lots of spaniards as customers who come to us for lunch.",EJ67531T2,E,self_employed,ES,none,none,none,none,none,2013-09-02 14:32:28 +0200,,expired,2000000000,0,118,False,37.402682,-5.983645,231400,EUR,0.0,0.0,btc
52,NDPWM349A,766,term_6_weeks,other,I want to buy an USB miner to start mining with my raspberry pi. Financing it with a bitcoin loan is the easiest thing and a safe projects for everyone to support. Thank you,18TFGM41GTJ,A,self_employed,SK,connected,connected,connected,connected,connected,2013-09-18 02:32:05 +0200,2013-09-19 01:53:14 +0200,fully_paid,100000000,100000000,2,False,52.510964,13.304994,185000,EUR,1.0,1.0,btc
53,Q1X8W34CE,766,term_6_weeks,other,This is a test project!,18TFGM41GTJ,A,self_employed,SK,connected,connected,connected,connected,connected,2013-10-07 21:39:56 +0200,2013-10-10 14:01:06 +0200,fully_paid,100000000,100000000,2,False,52.510964,13.304994,185000,EUR,1.0,1.0,btc
54,QD2RZ34DS,1465,term_6_weeks,investment,We need to buy new chairs for our little restaurant. Currently we refurbish. With the loan we could finish everything faster and use our entire space for customers immediately.,FQ6AP31WM,C,self_employed,IT,none,none,none,none,none,2013-10-12 03:21:19 +0200,2013-10-18 06:00:22 +0200,fully_paid,800000000,190000000,142,False,44.408788,8.933717,186700,EUR,1.0,1.0,btc
55,QEZHP34E2,1583,term_36_months,consumption,"Costs for holidays/travel, television or other purchases, relocation, medical treatment, wedding, furniture, leisure activities",QD66G34DT,C,salaried,SE,none,none,connected,none,none,2013-10-12 20:38:30 +0200,,canceled,2500000000,0,298,False,56.124023,13.559161,2100000,SEK,0.0,0.0,btc
56,QF9YP34E3,1583,term_36_months,investment,"We are in the Trot Race and Horse Breeding. We are going to take it to a higher level and need some assets to get a quicker start.  We are weill known in  the trot race business, we are both trainers and keepers. We own 3 horses today and plan to breed with a very expencive stallion.   Thankful for good offers :)  Tezz",QD66G34DT,C,salaried,SE,none,none,connected,none,none,2013-10-12 23:36:06 +0200,,canceled,7000000000,0,298,False,56.124023,13.559161,2100000,SEK,0.0,0.0,btc
57,QFD2F34E6,1633,term_60_months,consumption,"Costs for holidays/travel, television or other purchases, relocation, medical treatment, wedding, furniture, leisure activities",QD66G34DT,C,salaried,SE,none,none,connected,none,none,2013-10-13 00:29:19 +0200,,canceled,8000000000,0,298,False,56.124023,13.559161,2100000,SEK,0.0,0.0,btc
58,QFE5R34E9,1380,term_6_months,working_capital,"Trott horse breeding, equipment for training. It's alot af money to make on this but we need a little start to buy equipment.  Thank you  Tezz",QD66G34DT,C,salaried,SE,none,none,connected,none,none,2013-10-13 00:48:08 +0200,,canceled,2000000000,0,298,False,56.124023,13.559161,2100000,SEK,0.0,0.0,btc
59,QMP4X34ES,1583,term_36_months,investment," After a number of years dealing with mutual funds and stocks, I will now do the same with bitcoins because I think it is a currency that  is here to stay and only to grow. For example we have shopes online with btc as only payment option. Smartphones, laptops and other electric equipment to buy.  Instead of buying btc on Kapiton or MtGox and favor ""Bitcoin banks,""  I'll try this and see if we can benefit each other :)  Lets do some business together.  Regards",QD66G34DT,C,salaried,SE,none,none,connected,none,none,2013-10-15 00:34:53 +0200,,canceled,10000000000,0,298,False,56.124023,13.559161,2100000,SEK,0.0,0.0,btc
60,QMQKM34EV,1583,term_36_months,investment,"  Hello fellow bitcoin traders  My name is Martin and I am a 35 year old economist After a number of years dealing with mutual funds and stocks, I will now do the same with bitcoins because I think it is a currency that  is here to stay and only to grow. For example we have shopes online with btc as only payment option. Smartphones, laptops and other electric equipment to buy.  Instead of buying btc on Kapiton or MtGox and favor ""Bitcoin banks,""  I'll try this and see if we can benefit each other :) Lets do some business together.  Regards ",QD66G34DT,C,salaried,SE,none,none,connected,none,none,2013-10-15 00:59:48 +0200,,canceled,2000000000,0,298,False,56.124023,13.559161,2100000,SEK,0.0,0.0,btc
61,QNXN934EY,1380,term_6_months,working_capital,I require the loan to purchase additional Avalon ASIC hardware to boost my existing hashing power for crypto mining.   Loan will be repaid in full within the allotted time.   ,QN3AR34EW,C,salaried,AU,none,none,connected,none,none,2013-10-15 11:49:13 +0200,2013-10-21 11:49:19 +0200,charged_off,900000000,220000000,309,False,-28.080176,153.381727,186600,AUD,6.0,3.0,btc
62,QY3PV34G3,766,term_6_weeks,other,I want to test this service as an opportunity to get a loan. I will definitely repay on time and post a new loan when the service works for me.,QKR1V34EM,A,self_employed,LU,none,none,none,none,none,2013-10-18 14:21:31 +0200,2013-10-24 18:00:22 +0200,fully_paid,500000000,350000000,307,False,49.59629,6.135862,175000,EUR,1.0,1.0,btc
63,R330034GV,1380,term_6_months,investment,"I want buy HW for BtC mining.  Please invest some BtC, if you have questions, please contact me :)",PC6Q234AG,C,studying,CZ,none,none,none,none,none,2013-10-20 11:40:00 +0200,,canceled,300000000,0,255,False,49.184671,16.590938,1400000,CZK,0.0,0.0,btc
64,R33J734GW,1380,term_6_months,investment,"I want buy HW for BtC mining. Please invest some BtC, if you have questions, please contact me +420 734 217 128 :) ",PC6Q234AG,C,studying,CZ,none,none,none,none,none,2013-10-20 11:49:43 +0200,,expired,300000000,10000000,255,False,49.184671,16.590938,1400000,CZK,0.0,0.0,btc
65,R4R4034HG,1235,term_60_months,investment,"We Blurr.co IT Global Solutions are looking for new ways to get involved around the IT industry , not only providing IT Support to our customers but for our customers to benefit IT subjects that they are interested in. Since we have launched www.blurr.co we have had a few questions in regards to how can our customers earn bitcoins, so we have came up with a solution of investing in new Data Centers just for the purposes of Bitcoin Mining.  What we offer for customers that actually invest in this project is shares from our company `Blurr.co Global IT Solutions` or bitcoins in return. The choice will be given to your self as we will discuss investment opportunities in greater dept. Bitcoin is a whole new market that can be invested in.What we will be looking to do, bitcoin mining on a massive scale, on servers and offering these services to customers that demand this.",QZWFP34GB,B,self_employed,TR,none,none,connected,none,none,2013-10-21 02:46:40 +0200,,expired,5000000000,10000000,322,False,51.69961,-3.105375,90000,GBP,0.0,0.0,btc
66,R5VFA34HY,1380,term_6_months,working_capital,"The loan is for my Avalon ASIC card on order, and also to order a box through Cointerra with 2Th/s power.   Loan will be repaid a day early, each month. Support a growing Aussie mine! ",QN3AR34EW,C,salaried,AU,none,none,connected,none,none,2013-10-21 12:50:02 +0200,,expired,520000000,10000000,309,False,-28.080176,153.381727,186600,AUD,0.0,0.0,btc
67,RQ52W34MK,1465,term_6_weeks,consumption,Iam out of cash and need a loan to food and some other thinks. Thank you for helping me.,PC6Q234AG,C,studying,CZ,none,none,none,none,none,2013-10-28 01:18:20 +0100,,canceled,100000000,10000000,255,False,49.184671,16.590938,1400000,CZK,0.0,0.0,btc
68,RQ9KX34MP,1380,term_6_months,investment,I'm testing this as a new way to get a loan. I want to become self-employed as a private tutor. This loan can help me to start. I will buy a scooter so I can drive to my customers.,H914X31ZS,C,self_employed,IE,none,none,none,none,none,2013-10-28 02:35:41 +0100,2013-11-03 06:00:21 +0100,fully_paid,700000000,100000000,170,False,53.613154,-6.181284,135000,EUR,6.0,6.0,btc
69,RVB0P34NN,2792,term_6_weeks,other,This is a test loan. I want to see how this works. Will definitely repay.,EJ67531T2,E,self_employed,ES,none,none,none,none,none,2013-10-29 15:24:06 +0100,,expired,200000000,40000000,118,False,37.402682,-5.983645,231400,EUR,0.0,0.0,btc
70,S1DS334QC,1115,term_6_weeks,working_capital,I need short term liquidity. I run an eBay shop with sports gear and orders are coming in. The loan will help me to buy the goods right away so I can fulfill the orders immediately.,F1AAA31VF,B,salaried,DK,none,none,none,none,none,2013-10-31 22:48:03 +0100,2013-11-15 00:00:20 +0100,fully_paid,350000000,170000000,128,False,55.689747,12.565023,1700000,DKK,1.0,1.0,btc
71,S1GYS34QF,1633,term_60_months,investment,"I want make huge invest to gold. Sorry, no details. ",PC6Q234AG,C,studying,CZ,none,none,none,none,none,2013-10-31 23:42:17 +0100,,canceled,3500000000,0,255,False,49.184671,16.590938,1400000,CZK,0.0,0.0,btc
72,S1H0R34QG,1465,term_6_weeks,other,Test loan.,PC6Q234AG,C,studying,CZ,none,none,none,none,none,2013-10-31 23:43:20 +0100,,expired,100000000,0,255,False,49.184671,16.590938,1400000,CZK,0.0,0.0,btc
73,S2WPM34R3,1029,term_6_months,investment,Loan for one Avalon asic bitcoin miner.,S2JSX34QX,B,salaried,AU,none,none,none,none,none,2013-11-01 12:08:52 +0100,,expired,1000000000,10000000,437,False,-34.865049,138.558169,266000,AUD,0.0,0.0,btc
74,S3AN134R8,1947,term_12_months,working_capital,"My company is setting up a Bitcoin money transfer service in East Africa, to run similar to the M-PESA mobile money network. Because Bitcoin is difficult to obtain in Africa, we intend to provide a Bitcoin microfinance where Bitcoins can be exchanged for local currency at agents.   This can allow small businesses to receive payments in BTC and convert to cash securely and easily, avoiding the hefty transaction fees associated with mobile money. Our objective is to build a Bitcoin economy where payments in Bitcoin are accepted via mobile apps. With this capital and our own investment we will be able to begin a pilot rollout with businesses in Nairobi. Revenue streams will mainly involve exchange gains and volume-based fees for businesses.",RS9VN34N6,D,self_employed,KE,none,none,connected,none,none,2013-11-01 16:06:57 +0100,2013-11-15 18:00:22 +0100,fully_paid,900000000,110000000,389,False,-1.303468,36.774764,12000000,KES,12.0,12.0,btc
75,SW7F9350W,1633,term_60_months,investment,To Upgrade my bitcoin mining equipment and to invest in bitcoins ,RTAH034NE,C,salaried,US,none,none,connected,none,none,2013-11-11 02:46:02 +0100,,canceled,1800000000,0,394,False,35.899404,-79.024942,95700,USD,0.0,0.0,btc
76,SXSCX351H,1029,term_6_months,working_capital,"I'm setting up an web hosting business, and need initial capital to cover operating costs (particularly for renting space at a datacentre) until the company starts generating an income. My salaried income is enough to repay instalments of this loan, if the company takes longer to generate income than I expect. This company will accept Bitcoin as a means of payment (as well as fiat).",SV4A53509,B,studying,GB,none,none,none,none,none,2013-11-11 16:58:06 +0100,2013-11-25 16:58:17 +0100,fully_paid,400000000,210000000,602,False,51.500748,-0.088066,130000,GBP,6.0,6.0,btc
