,loan_identifier,borrower_identifier,term,purpose,borrower_rating,employment,region,facebook,twitter,paypal,ebay,linkedin,currency,base_currency,location,funded,time_between_published_funded,ratio_requested_funded,amount_funded,address_lat,address_lng,net_income_cents,rates_paid,rates_count,prices,portion_average_salary,nominal_interest_rate,status
32,2110,493,4,3,2,2,31,1,1,1,1,1,14,0,30,0,90836,0.9,90000000,53.613154,-6.181284,135000,0.0,0.0,2350.33319821,57.438664485,1465,expired
33,2111,52,3,1,0,2,67,0,0,0,0,0,14,0,60,0,90836,0.8,80000000,52.510964,13.304994,185000,0.0,0.0,668.307692308,276.818600368,770,expired
34,2112,487,4,5,1,1,15,1,1,1,1,1,11,0,14,1,6,0.733333333333,220000000,55.689747,12.565023,1700000,1.0,1.0,19899.6493864,85.4286408263,1115,fully_paid
35,2113,491,3,2,3,2,0,1,1,0,1,1,1,0,1,0,90834,0.0,0,-34.545137,-58.529497,600000,0.0,0.0,1077.87362453,556.651527921,1806,expired
36,2114,136,3,1,3,1,14,1,1,1,1,1,14,0,21,0,90833,0.0,0,50.343577,7.56679,180000,0.0,0.0,2145.16430526,83.9096565045,1806,expired
37,2115,483,4,6,2,2,24,1,1,1,1,1,15,0,74,0,90830,0.9,90000000,53.773415,-1.54316,150000,0.0,0.0,1671.23445374,89.754013666,1465,expired
38,2116,52,4,1,0,2,67,0,0,0,0,0,14,0,60,0,90829,0.0,0,52.510964,13.304994,185000,0.0,0.0,668.307692308,276.818600368,766,canceled
39,2117,482,0,2,4,1,36,1,1,1,1,1,14,0,32,0,90827,0.0,0,45.458525,9.164262,134500,0.0,0.0,1548.71583447,86.846145049,2564,canceled
40,2118,484,4,2,3,2,23,1,1,1,1,1,14,0,20,0,90827,0.18,90000000,47.225268,5.137244,231400,0.0,0.0,1947.32176101,118.829874258,1994,expired
41,2119,493,4,3,2,2,31,1,1,1,1,1,14,0,30,0,90822,0.2,40000000,53.613154,-6.181284,135000,0.0,0.0,2350.33319821,57.438664485,1465,expired
42,2120,488,4,2,2,2,36,1,1,1,1,1,14,0,32,0,90822,0.025,10000000,44.408788,8.933717,186700,0.0,0.0,1548.71583447,120.551489075,1465,expired
43,2121,54,3,0,2,1,14,1,1,1,1,1,14,0,21,0,90819,0.2,40000000,48.763876,9.154961,370000,0.0,0.0,2145.16430526,172.480960593,1380,expired
44,2122,484,4,3,3,2,23,1,1,1,1,1,14,0,20,0,90815,0.4,40000000,47.225268,5.137244,231400,0.0,0.0,1947.32176101,118.829874258,1994,expired
45,2123,488,3,2,2,2,36,1,1,1,1,1,14,0,32,0,90815,0.0,0,44.408788,8.933717,186700,0.0,0.0,1548.71583447,120.551489075,1380,expired
46,2124,136,0,3,3,1,14,1,1,1,1,1,14,0,21,0,90808,0.01,10000000,50.343577,7.56679,180000,0.0,0.0,2145.16430526,83.9096565045,1947,expired
47,2125,484,3,3,3,2,23,1,1,1,1,1,14,0,20,0,90808,0.025,10000000,47.225268,5.137244,231400,0.0,0.0,1947.32176101,118.829874258,1806,expired
48,2126,488,4,2,2,2,36,1,1,1,1,1,14,0,32,0,90808,0.0,0,44.408788,8.933717,186700,0.0,0.0,1548.71583447,120.551489075,1465,expired
49,2127,491,0,6,3,2,0,1,1,0,1,1,1,0,1,0,90808,0.0,0,-34.545137,-58.529497,600000,0.0,0.0,1077.87362453,556.651527921,1947,expired
50,2128,483,4,3,2,2,24,1,1,1,1,1,15,0,74,0,90801,0.2,40000000,53.773415,-1.54316,150000,0.0,0.0,1671.23445374,89.754013666,1465,expired
51,2129,486,3,2,4,2,21,1,1,1,1,1,14,0,64,0,90801,0.0,0,37.402682,-5.983645,231400,0.0,0.0,1280.23247253,180.748422623,2458,expired
52,2130,52,4,3,0,2,67,0,0,0,0,0,14,0,60,1,0,1.0,100000000,52.510964,13.304994,185000,1.0,1.0,668.307692308,276.818600368,766,fully_paid
53,2131,52,4,3,0,2,67,0,0,0,0,0,14,0,60,1,2,1.0,100000000,52.510964,13.304994,185000,1.0,1.0,668.307692308,276.818600368,766,fully_paid
54,2132,488,4,2,2,2,36,1,1,1,1,1,14,0,32,1,6,0.2375,190000000,44.408788,8.933717,186700,1.0,1.0,1548.71583447,120.551489075,1465,fully_paid
55,2133,495,1,0,2,1,64,1,1,0,1,1,48,0,67,0,90761,0.0,0,56.124023,13.559161,2100000,0.0,0.0,19363.1409243,108.453479124,1583,canceled
56,2134,495,1,2,2,1,64,1,1,0,1,1,48,0,67,0,90761,0.0,0,56.124023,13.559161,2100000,0.0,0.0,19363.1409243,108.453479124,1583,canceled
57,2135,495,2,0,2,1,64,1,1,0,1,1,48,0,67,0,90760,0.0,0,56.124023,13.559161,2100000,0.0,0.0,19363.1409243,108.453479124,1633,canceled
58,2136,495,3,6,2,1,64,1,1,0,1,1,48,0,67,0,90760,0.0,0,56.124023,13.559161,2100000,0.0,0.0,19363.1409243,108.453479124,1380,canceled
59,2137,495,1,2,2,1,64,1,1,0,1,1,48,0,67,0,90758,0.0,0,56.124023,13.559161,2100000,0.0,0.0,19363.1409243,108.453479124,1583,canceled
60,2138,495,1,2,2,1,64,1,1,0,1,1,48,0,67,0,90758,0.0,0,56.124023,13.559161,2100000,0.0,0.0,19363.1409243,108.453479124,1583,canceled
61,2139,497,3,6,2,1,2,1,1,0,1,1,2,0,2,1,6,0.244444444444,220000000,-28.080176,153.381727,186600,3.0,6.0,4257.53172314,43.8282113051,1380,charged_off
62,2140,496,4,3,0,2,44,1,1,1,1,1,14,0,40,1,6,0.7,350000000,49.59629,6.135862,175000,1.0,1.0,3249.33333333,53.8572014773,766,fully_paid
63,2141,494,3,2,2,3,13,1,1,1,1,1,10,0,13,0,90753,0.0,0,49.184671,16.590938,1400000,0.0,0.0,22247.6284341,62.9280556418,1380,canceled
64,2142,494,3,2,2,3,13,1,1,1,1,1,10,0,13,0,90753,0.0333333333333,10000000,49.184671,16.590938,1400000,0.0,0.0,22247.6284341,62.9280556418,1380,expired
65,2143,498,2,2,1,2,71,1,1,0,1,1,15,0,72,0,90752,0.002,10000000,51.69961,-3.105375,90000,0.0,0.0,1860.97082902,48.3618542518,1235,expired
66,2144,497,3,6,2,1,2,1,1,0,1,1,2,0,2,0,90752,0.0192307692308,10000000,-28.080176,153.381727,186600,0.0,0.0,4257.53172314,43.8282113051,1380,expired
67,2145,494,4,0,2,3,13,1,1,1,1,1,10,0,13,0,90745,0.1,10000000,49.184671,16.590938,1400000,0.0,0.0,22247.6284341,62.9280556418,1465,canceled
68,2146,493,3,2,2,2,31,1,1,1,1,1,14,0,30,1,6,0.142857142857,100000000,53.613154,-6.181284,135000,6.0,6.0,2350.33319821,57.438664485,1380,fully_paid
69,2147,486,4,3,4,2,21,1,1,1,1,1,14,0,64,0,90744,0.2,40000000,37.402682,-5.983645,231400,0.0,0.0,1280.23247253,180.748422623,2792,expired
70,2148,487,4,6,1,1,15,1,1,1,1,1,11,0,14,1,14,0.485714285714,170000000,55.689747,12.565023,1700000,1.0,1.0,19899.6493864,85.4286408263,1115,fully_paid
71,2149,494,2,2,2,3,13,1,1,1,1,1,10,0,13,0,90742,0.0,0,49.184671,16.590938,1400000,0.0,0.0,22247.6284341,62.9280556418,1633,canceled
72,2150,494,4,3,2,3,13,1,1,1,1,1,10,0,13,0,90742,0.0,0,49.184671,16.590938,1400000,0.0,0.0,22247.6284341,62.9280556418,1465,expired
73,2151,501,3,2,1,1,2,1,1,1,1,1,2,0,2,0,90741,0.01,10000000,-34.865049,138.558169,266000,0.0,0.0,4257.53172314,62.4775145078,1029,expired
74,2152,499,0,6,3,2,39,1,1,0,1,1,27,0,36,1,14,0.122222222222,110000000,-1.303468,36.774764,12000000,12.0,12.0,29152.344,411.63070798,1947,fully_paid
75,2153,500,2,2,2,1,74,1,1,0,1,1,54,0,75,0,90731,0.0,0,35.899404,-79.024942,95700,0.0,0.0,2719.25321219,35.1934860538,1633,canceled
76,2154,503,3,6,1,3,24,1,1,1,1,1,15,0,74,1,14,0.525,210000000,51.500748,-0.088066,130000,6.0,6.0,1671.23445374,77.7868118438,1029,fully_paid
77,2155,500,1,6,2,1,74,1,1,0,1,1,54,0,75,0,90730,0.0,0,35.899404,-79.024942,95700,0.0,0.0,2719.25321219,35.1934860538,1583,canceled
78,2156,506,2,2,1,1,74,1,1,0,1,1,54,0,75,0,90725,0.0555555555556,150000000,35.012152,-114.581488,164800,0.0,0.0,2719.25321219,60.6048746256,1235,canceled
79,2157,500,1,2,2,1,74,1,1,0,1,1,54,0,75,0,90725,0.0125,10000000,35.899404,-79.024942,95700,0.0,0.0,2719.25321219,35.1934860538,1583,canceled
80,2158,505,0,1,2,3,74,1,1,1,1,1,54,0,75,0,90724,0.0,0,34.064353,-118.375347,200000,0.0,0.0,2719.25321219,73.5496051281,1453,canceled
81,2159,505,0,1,2,3,74,1,1,1,1,1,54,0,75,0,90724,0.0697674418605,30000000,34.064353,-118.375347,200000,0.0,0.0,2719.25321219,73.5496051281,1453,expired
82,2160,500,2,2,2,1,74,1,1,0,1,1,54,0,75,0,90719,0.0,0,35.899404,-79.024942,95700,0.0,0.0,2719.25321219,35.1934860538,1633,expired
83,2161,502,4,2,2,1,74,1,1,1,1,1,54,0,75,0,90715,0.166666666667,20000000,42.363625,-71.064669,920000,0.0,0.0,2719.25321219,338.328183589,1465,expired
84,2162,507,3,2,2,1,77,1,1,1,1,1,58,0,62,0,90714,0.0,0,-29.774864,30.799098,5000000,0.0,0.0,16496.5446584,303.093775305,1380,canceled
85,2164,52,4,3,0,2,67,0,0,0,0,0,14,0,60,0,90701,0.0,0,52.510964,13.304994,185000,0.0,0.0,668.307692308,276.818600368,766,canceled
86,2163,500,2,2,2,1,74,1,1,0,1,1,54,0,75,0,90698,0.0,0,35.899404,-79.024942,95700,0.0,0.0,2719.25321219,35.1934860538,1633,canceled
87,2165,502,4,6,2,1,74,1,1,1,1,1,54,0,75,0,90698,0.0,0,42.363625,-71.064669,920000,0.0,0.0,2719.25321219,338.328183589,1465,canceled
88,2167,502,4,6,2,1,74,1,1,1,1,1,54,0,75,0,90698,0.0,0,42.363625,-71.064669,920000,0.0,0.0,2719.25321219,338.328183589,1465,canceled
89,2166,502,4,6,2,1,74,1,1,1,1,1,54,0,75,0,90698,0.0,0,42.363625,-71.064669,920000,0.0,0.0,2719.25321219,338.328183589,1465,canceled
90,2168,52,4,1,0,2,67,0,0,0,0,0,14,0,60,1,6,1.0,100000000,52.510964,13.304994,185000,1.0,1.0,668.307692308,276.818600368,766,fully_paid
91,2169,500,2,2,2,1,74,1,1,0,1,1,54,0,75,0,90693,0.0,0,35.899404,-79.024942,95700,0.0,0.0,2719.25321219,35.1934860538,1633,expired
92,2170,52,4,2,0,2,67,0,0,0,0,0,14,0,60,0,90683,0.1,10000000,52.510964,13.304994,185000,0.0,0.0,668.307692308,276.818600368,766,canceled
93,2171,500,2,2,2,1,74,1,1,0,1,1,54,0,75,0,90678,0.0,0,35.899404,-79.024942,95700,0.0,0.0,2719.25321219,35.1934860538,1633,expired
94,2172,514,2,6,3,2,7,1,1,0,1,1,5,0,8,0,90670,0.0,0,49.896816,-97.28937,300000,0.0,0.0,2997.53801649,100.082133521,2071,canceled
95,2173,514,2,6,3,2,7,1,1,0,1,1,5,0,8,0,90670,0.0,0,49.896816,-97.28937,300000,0.0,0.0,2997.53801649,100.082133521,2071,expired
96,2174,500,2,6,2,1,74,1,1,0,1,1,54,0,75,0,90663,0.0,0,35.899404,-79.024942,95700,0.0,0.0,2719.25321219,35.1934860538,1633,expired
97,2175,52,4,1,0,2,67,0,0,0,0,0,14,0,60,0,90659,0.4,4000000,52.510964,13.304994,185000,0.0,0.0,668.307692308,276.818600368,766,canceled
98,2176,515,2,6,1,1,19,1,1,1,1,1,14,0,18,0,90659,0.213125,341000000,59.376457,24.64509,138600,0.0,0.0,787.125,176.083849452,1235,expired
99,0,54,3,0,2,1,14,1,1,1,1,1,14,0,21,0,90655,0.0,0,48.763876,9.154961,370000,0.0,0.0,2145.16430526,172.480960593,1380,canceled
100,1,54,3,0,0,1,14,1,1,1,1,1,14,0,21,1,13,1.0,400000000,48.763876,9.154961,370000,6.0,6.0,2145.16430526,172.480960593,770,fully_paid
101,2,518,4,6,1,1,36,1,0,0,1,1,14,0,32,1,3,1.0,40000000,45.483101,9.235804,139000,1.0,1.0,1548.71583447,89.7517781547,1115,fully_paid
102,3,509,2,5,2,1,45,1,1,0,0,1,31,0,37,0,90653,0.005,2000000,56.739251,22.923442,20000,0.0,0.0,598.452988786,33.4195005702,1633,expired
103,4,513,2,6,2,2,38,0,0,0,0,0,26,0,35,0,90653,0.000392927308448,2000000,31.928136,131.435767,58300000,0.0,0.0,270280.52459,215.701816061,1633,expired
104,5,517,4,3,4,1,17,1,1,1,1,1,13,0,0,1,7,1.0,20000000,36.703315,4.043742,2130000,1.0,1.0,33610.7142857,63.3726490278,2792,fully_paid
105,6,0,2,2,1,1,36,1,1,0,1,1,14,0,32,0,90650,0.00506329113924,4000000,40.786792,17.243666,80000,0.0,0.0,1548.71583447,51.6556996574,1235,expired
106,7,1,0,2,1,1,74,0,0,0,0,0,54,0,75,0,90647,0.0397435897436,31000000,29.57058,-81.199211,350000,0.0,0.0,2719.25321219,128.711808974,1069,expired
107,8,500,2,6,2,1,74,1,1,0,1,1,54,0,75,0,90646,0.00147058823529,1000000,35.899404,-79.024942,95700,0.0,0.0,2719.25321219,35.1934860538,1633,expired
108,9,4,3,6,2,2,74,1,1,0,1,1,54,0,75,1,14,0.456,114000000,30.191369,-98.09499,250000,0.0,6.0,2719.25321219,91.9370064102,1380,charged_off
109,10,515,1,6,1,1,19,1,1,1,1,1,14,0,18,0,90645,0.213846153846,278000000,59.376457,24.64509,138600,0.0,0.0,787.125,176.083849452,1166,expired
110,11,2,2,1,2,1,74,0,1,0,1,0,54,0,75,0,90644,0.0505,101000000,41.916284,-83.394035,360000,0.0,0.0,2719.25321219,132.389289231,1633,expired
111,12,520,1,2,2,1,61,1,1,1,1,1,5,0,56,0,90643,0.001,1000000,53.589842,-113.441089,372800,0.0,0.0,1995.41959659,186.827873514,1583,expired
112,13,9,2,5,3,2,56,1,1,1,1,1,40,0,52,0,90643,0.00208333333333,1000000,40.005833,-79.781195,200000,0.0,0.0,1447.83333333,138.13744676,2071,expired
113,14,8,0,2,2,3,7,1,1,0,1,1,5,0,8,0,90643,0.11,22000000,46.205956,-59.958093,126400,0.0,0.0,2997.53801649,42.1679389234,1453,canceled
114,15,10,0,0,2,1,2,1,1,0,1,1,2,0,2,0,90640,0.0433333333333,13000000,-33.284804,149.098682,315800,0.0,0.0,4257.53172314,74.1744326375,1453,expired
115,16,7,3,6,2,1,11,1,1,1,1,1,8,0,10,0,90639,0.192,96000000,39.974803,116.468873,2000000,0.0,0.0,6237.23596505,320.654855966,1380,expired
116,17,509,1,4,2,1,45,1,1,0,0,1,31,0,37,0,90638,0.0075,3000000,56.739251,22.923442,20000,0.0,0.0,598.452988786,33.4195005702,1583,expired
117,18,0,2,2,1,1,36,1,1,0,1,1,14,0,32,0,90636,0.000934579439252,1000000,40.786792,17.243666,80000,0.0,0.0,1548.71583447,51.6556996574,1235,expired
118,19,1,0,6,1,1,74,0,0,0,0,0,54,0,75,0,90633,0.0,0,29.57058,-81.199211,350000,0.0,0.0,2719.25321219,128.711808974,1069,canceled
119,20,1,1,6,1,1,74,0,0,0,0,0,54,0,75,0,90633,0.0253012048193,21000000,29.57058,-81.199211,350000,0.0,0.0,2719.25321219,128.711808974,1166,expired
120,21,13,2,2,2,1,77,1,1,0,1,1,58,0,62,0,90631,0.002,1000000,-34.072743,18.843202,480000,0.0,0.0,16496.5446584,29.0970024293,1633,expired
121,22,499,1,6,3,2,39,1,1,0,1,1,27,0,36,0,90630,0.002,1000000,-1.303468,36.774764,12000000,0.0,0.0,29152.344,411.63070798,2108,canceled
122,23,12,1,6,3,1,6,1,1,1,1,1,4,0,6,0,90630,0.0,0,-23.623041,-46.70016,260000,0.0,0.0,1745.90900524,148.919559507,2108,canceled
123,24,12,1,4,3,1,6,1,1,1,1,1,4,0,6,0,90630,0.00277777777778,1000000,-23.623041,-46.70016,260000,0.0,0.0,1745.90900524,148.919559507,2108,expired
124,25,500,0,6,2,1,74,1,1,0,1,1,54,0,75,1,14,0.409090909091,90000000,35.899404,-79.024942,95700,2.0,12.0,2719.25321219,35.1934860538,1453,charged_off
125,26,14,2,2,4,2,48,1,1,0,1,1,34,0,42,0,90629,0.002,1000000,-1.0,-1.0,1500000,0.0,0.0,28485.1765224,52.6589680362,2253,expired
126,27,4,0,2,2,2,74,1,1,0,1,1,54,0,75,0,90628,0.0,0,30.191369,-98.09499,250000,0.0,0.0,2719.25321219,91.9370064102,1453,canceled
127,28,4,0,6,2,2,74,1,1,0,1,1,54,0,75,0,90625,0.04,12000000,30.191369,-98.09499,250000,0.0,0.0,2719.25321219,91.9370064102,1453,canceled
128,29,16,2,0,4,1,7,1,1,1,1,1,5,0,8,0,90624,0.0,0,49.889583,-119.390402,30000,0.0,0.0,2997.53801649,10.0082133521,2253,expired
129,30,19,2,6,3,1,36,1,1,0,1,1,15,0,32,0,90623,0.0,0,51.493287,-0.171233,111000,0.0,0.0,1548.71583447,71.6722832746,2071,expired
130,31,18,3,2,3,1,74,1,1,0,1,1,54,0,75,0,90622,0.05,20000000,30.827521,-83.307556,260000,0.0,0.0,2719.25321219,95.6144866666,1806,canceled
131,32,10,0,2,2,1,2,1,1,0,1,1,2,0,2,0,90622,0.01,2000000,-33.284804,149.098682,315800,0.0,0.0,4257.53172314,74.1744326375,1453,expired
132,33,20,0,3,1,1,74,1,1,1,1,1,54,0,75,0,90622,0.0794871794872,31000000,35.97069,-86.602268,147400,0.0,0.0,2719.25321219,54.2060589794,1069,canceled
133,34,52,4,3,0,2,67,0,0,0,0,0,14,0,60,0,90621,0.0,0,52.510964,13.304994,185000,0.0,0.0,668.307692308,276.818600368,766,canceled
134,35,52,4,3,0,2,67,0,0,0,0,0,14,0,60,0,90621,0.0,0,52.510964,13.304994,185000,0.0,0.0,668.307692308,276.818600368,766,canceled
135,36,52,4,3,0,2,67,0,0,0,0,0,14,0,60,0,90621,0.0,0,52.510964,13.304994,185000,0.0,0.0,668.307692308,276.818600368,766,canceled
136,37,21,2,6,3,1,74,1,1,1,1,1,54,0,75,0,90620,0.0,0,34.045806,-118.250712,200000,0.0,0.0,2719.25321219,73.5496051281,2071,canceled
137,38,23,2,6,3,0,74,1,1,0,1,1,54,0,75,0,90620,0.0012,3000000,42.214324,-72.672622,180000,0.0,0.0,2719.25321219,66.1946446153,2071,expired
138,39,22,2,6,3,1,39,1,1,0,1,1,27,0,36,0,90619,0.0,0,-1.286641,36.826108,4500,0.0,0.0,29152.344,0.154361515493,2071,expired
139,40,24,2,1,1,3,34,1,1,1,1,1,8,0,29,0,90619,0.00175438596491,1000000,31.274494,120.734775,350000,0.0,0.0,478.205054081,731.903598703,1235,expired
140,41,1,4,6,1,1,74,0,0,0,0,0,54,0,75,1,14,0.73,73000000,29.57058,-81.199211,350000,1.0,1.0,2719.25321219,128.711808974,1115,fully_paid
141,42,505,4,1,2,3,74,1,1,1,1,1,54,0,75,1,3,1.0,50000000,34.064353,-118.375347,200000,1.0,1.0,2719.25321219,73.5496051281,1465,fully_paid
142,43,28,2,6,3,2,70,1,1,0,1,1,50,0,71,0,90616,0.0,0,13.860011,100.517925,50000000,0.0,0.0,13929.9052632,3589.39985989,2071,expired
143,44,21,1,6,3,1,74,1,1,1,1,1,54,0,75,0,90616,0.0,0,34.045806,-118.250712,200000,0.0,0.0,2719.25321219,73.5496051281,2108,expired
144,45,14,0,2,4,2,48,1,1,0,1,1,34,0,42,0,90615,0.0,0,-1.0,-1.0,1500000,0.0,0.0,28485.1765224,52.6589680362,2564,expired
145,46,20,3,3,1,1,74,1,1,1,1,1,54,0,75,0,90615,0.11,11000000,35.97069,-86.602268,147400,0.0,0.0,2719.25321219,54.2060589794,1029,canceled
146,47,18,3,6,3,1,74,1,1,0,1,1,54,0,75,0,90615,0.0666666666667,10000000,30.827521,-83.307556,260000,0.0,0.0,2719.25321219,95.6144866666,1806,expired
147,48,20,4,3,1,1,74,1,1,1,1,1,54,0,75,0,90613,0.0,0,35.97069,-86.602268,147400,0.0,0.0,2719.25321219,54.2060589794,1115,canceled
148,49,20,4,3,1,1,74,1,1,1,1,1,54,0,75,1,8,1.0,10000000,35.97069,-86.602268,147400,1.0,1.0,2719.25321219,54.2060589794,1115,fully_paid
149,50,20,4,3,1,1,74,1,1,1,1,1,54,0,75,1,6,1.0,10000000,35.97069,-86.602268,147400,1.0,1.0,2719.25321219,54.2060589794,1115,fully_paid
150,51,20,4,3,1,1,74,1,1,1,1,1,54,0,75,0,90612,0.0,0,35.97069,-86.602268,147400,0.0,0.0,2719.25321219,54.2060589794,1115,canceled
151,52,29,3,4,3,1,74,1,1,0,1,1,54,0,75,0,90612,0.0432432432432,16000000,42.540559,-83.199312,260000,0.0,0.0,2719.25321219,95.6144866666,1806,expired
152,53,20,0,6,1,1,74,1,1,1,1,1,54,0,75,1,14,0.5,50000000,35.97069,-86.602268,147400,12.0,12.0,2719.25321219,54.2060589794,1069,fully_paid
153,54,4,0,2,2,2,74,1,1,0,1,1,54,0,75,0,90610,0.0,0,30.191369,-98.09499,250000,0.0,0.0,2719.25321219,91.9370064102,1453,canceled
154,55,518,4,6,1,1,36,1,0,0,1,1,14,0,32,1,13,1.0,60000000,45.483101,9.235804,139000,1.0,1.0,1548.71583447,89.7517781547,1115,fully_paid
155,56,31,2,2,2,3,74,1,1,0,1,1,54,0,75,0,90607,0.0,0,40.084947,-89.741431,140000,0.0,0.0,2719.25321219,51.4847235897,1633,canceled
156,57,31,2,2,2,3,74,1,1,0,1,1,54,0,75,0,90607,0.0,0,40.084947,-89.741431,140000,0.0,0.0,2719.25321219,51.4847235897,1633,expired
